curve_ece_over_nominal_coverages,label,method
0.10411810411810413,OHSVGP (RBF),ohsvgp
0.11241647241647239,ST-SVGP,st_svgp
0.1858275058275058,Route B ordinary,routeb_ordinary
0.14526806526806524,Route B cumulative HiPPO,routeb_hippo
