seed,method,block,rmse,mae,nll,coverage50,coverage90,coverage95,runtime_sec
0,no_transfer,0,0.061254949925997976,0.04784206400848236,-0.7914793709290951,0.6666666666666666,0.9666666666666667,0.9666666666666667,0.0005211019997659605
0,no_transfer,1,0.19090202451290303,0.16110085975081734,2.3231109322072956,0.43333333333333335,0.5666666666666667,0.6,0.00101947800067137
0,no_transfer,2,0.039998402386272364,0.03267495275529982,-1.0008491749020623,0.7666666666666667,1.0,1.0,0.00037262200021359604
0,no_transfer,3,0.08439658806133032,0.06585450668089131,-0.4762503248321047,0.6333333333333333,0.8666666666666667,0.8666666666666667,0.00027954600045632105
0,no_transfer,4,0.43384167646624555,0.34824684729678973,17.554271509806217,0.3,0.4666666666666667,0.4666666666666667,0.0002698880016396288
0,projected_prior,0,0.061254949925997976,0.04784206400848236,-0.7914793709290951,0.6666666666666666,0.9666666666666667,0.9666666666666667,0.00030943300043873023
0,projected_prior,1,0.32424845317735207,0.27326897832916736,8.729742666097808,0.3,0.5333333333333333,0.5333333333333333,0.0005316910010151332
0,projected_prior,2,0.35308848771558593,0.29834007340058055,7.150431850425642,0.16666666666666666,0.5333333333333333,0.5666666666666667,0.00037659999907191377
0,projected_prior,3,0.45803782176805213,0.3830345642944803,19.915538287730183,0.2,0.36666666666666664,0.4,0.00036650100082624704
0,projected_prior,4,0.6906672328018848,0.5609603683748453,42.78941293672566,0.13333333333333333,0.3333333333333333,0.36666666666666664,0.00033919899942702614
0,ssgp_transfer,0,0.061254949925997976,0.04784206400848236,-0.7914793709290951,0.6666666666666666,0.9666666666666667,0.9666666666666667,0.0004344080007285811
0,ssgp_transfer,1,0.3059625753237505,0.25570900335135305,7.891492855826534,0.3,0.4666666666666667,0.4666666666666667,0.0003033220000361325
0,ssgp_transfer,2,0.12247669347557869,0.08643089075072935,0.24185419026250005,0.5666666666666667,0.8,0.8333333333333334,0.0005795710003440036
0,ssgp_transfer,3,0.17632789900157442,0.1515766477959372,1.96151046032885,0.43333333333333335,0.5,0.6,0.0003030600000784034
0,ssgp_transfer,4,0.5699950722566097,0.45647449276784235,34.818574329503214,0.23333333333333334,0.4,0.4,0.00036400499993760604
